_id,date,center_name,attendance_count
37277857,2024-11-29,Ammon Community Center,1
37277858,2024-11-27,Ammon Community Center,4
37277859,2024-11-27,Arlington Community Center,7
37277860,2024-11-27,Brookline Community Center,24
37277861,2024-11-27,Jefferson Community Center,61
37277862,2024-11-27,Magee Community Center,30
37277863,2024-11-27,Ormsby Community Center,5
37277864,2024-11-27,Paulson Community Center,8
37277865,2024-11-27,Warrington Community Center,47
37277866,2024-11-27,West Penn Community Center,92
37277867,2024-11-26,Arlington Community Center,23
37277868,2024-11-26,Brookline Community Center,42
37277869,2024-11-26,Magee Community Center,35
37277870,2024-11-26,Jefferson Community Center,60
37277871,2024-11-26,Paulson Community Center,22
37277872,2024-11-26,Ormsby Community Center,12
37277873,2024-11-26,West Penn Community Center,162
37277874,2024-11-26,Warrington Community Center,38
37277875,2024-11-25,Arlington Community Center,10
37277876,2024-11-25,Ammon Community Center,2
37277877,2024-11-25,Brookline Community Center,28
37277878,2024-11-25,Jefferson Community Center,64
37277879,2024-11-25,Magee Community Center,54
37277880,2024-11-25,Ormsby Community Center,12
37277881,2024-11-25,Paulson Community Center,24
37277882,2024-11-25,Warrington Community Center,51
37277883,2024-11-25,West Penn Community Center,78
37277884,2024-11-23,Brookline Community Center,13
37277885,2024-11-23,Magee Community Center,18
37277886,2024-11-23,Paulson Community Center,3
37277887,2024-11-23,Ormsby Community Center,3
37277888,2024-11-23,West Penn Community Center,25
37277889,2024-11-23,Warrington Community Center,7
37277890,2024-11-22,Ammon Community Center,2
37277891,2024-11-22,Arlington Community Center,11
37277892,2024-11-22,Brookline Community Center,25
37277893,2024-11-22,Magee Community Center,51
37277894,2024-11-22,Jefferson Community Center,66
37277895,2024-11-22,Ormsby Community Center,4
37277896,2024-11-22,Paulson Community Center,16
37277897,2024-11-22,Warrington Community Center,52
37277898,2024-11-22,West Penn Community Center,39
37277899,2024-11-21,Arlington Community Center,10
37277900,2024-11-21,Brookline Community Center,44
37277901,2024-11-21,Jefferson Community Center,28
37277902,2024-11-21,Magee Community Center,37
37277903,2024-11-21,Paulson Community Center,20
37277904,2024-11-21,Ormsby Community Center,3
37277905,2024-11-21,West Penn Community Center,155
37277906,2024-11-21,Warrington Community Center,30
37277907,2024-11-20,Arlington Community Center,66
